lon lat topography LAB std_topo std_LAB wrong sqrt(area)
19.588415 -4.603659 -1.439695 199.869354 0.456964 45.124645 18.018591 18.110770
76.500000 18.084415 -0.746573 127.448341 0.359077 19.630461 8.551441 8.774964
104.866470 65.301155 -1.807973 201.575928 0.453148 40.734180 18.974701 29.410882
134.181824 -30.318182 -1.350543 215.166794 0.272082 17.162596 6.161634 6.633250
25.129629 -25.848148 -0.988956 184.914474 0.442404 24.036119 11.009511 11.618950
121.545158 -26.074194 -1.044732 227.294754 0.379217 41.026199 11.787807 12.449900
-45.485294 -16.433823 -0.857033 182.264679 0.336464 17.757195 11.406751 11.661904
-43.071129 75.100418 -0.713056 194.716217 0.227767 28.925991 11.068708 21.863211
131.537033 -17.240740 -1.292422 222.055206 0.305033 23.236601 7.179410 7.348469
-93.339447 56.212803 -1.438034 212.358307 0.364496 31.965773 28.147190 38.013156
36.164310 55.989986 -2.082220 224.467041 0.357650 23.937370 21.725348 29.137605
-4.526385 17.500000 -1.609140 213.723663 0.313328 39.113899 18.956087 19.467922
-53.768181 -4.263637 -1.348099 180.500793 0.311812 20.658062 14.790677 14.832397
32.740963 -0.861446 -0.443473 88.255684 0.313695 26.110731 9.103072 9.110434
-109.882355 37.000000 -0.735768 105.1857 0.341236 15.590075 5.209927 5.830952
109.559998 38.180000 -1.074695 167.0688 0.371189 29.18 6.267758 7.071068
119.693184 37.261364 -0.380946 84.74 0.300747 17.76 8.364939 9.380832
106.161537 30.146154 -1.134937 149.624191 0.398105 26.274410 7.493521 8.062258
